poster_path,title,release_date,overview,popularity,original_title,backdrop_path,vote_count,video,adult,vote_average,original_language,id,genre_ids,year,imdb_id,imdb_title,runtime,director,aspect_ratio
/tOMvlkrtpTvJoVRghfqo38uP2Sv.jpg,Sorority Surrogate,3/22/2014,A surrogate mother faces an uncertain future when the couple who hires her dies in an accident.,1.037794,Sorority Surrogate,,0,FALSE,FALSE,0,en,261046,"[10770, 9648, 18]",2014,3366000,A Surrogate's Terror,83,John L'Ecuyer,
/sQ46KBfUS4Xh91VTGLyL9DwQ9tW.jpg,Cocaine Cowboys: Reloaded,4/8/2014,"In the 1980s, ruthless Colombian cocaine barons invaded Miami with a brand of violence unseen in this country since Prohibition-era Chicago. Cocaine Cowboys is the true story of how Miami became the drug, murder and cash capital of the United States. But it isn't the whole story - Pulling from hundreds of hours of additional interviews and recently uncovered archival news footage, Cocaine Cowboys has been RELOADED: packed with footage and stories that have never been told about Griselda Blanco, the Medell?_n Cartel, and Miami's Cocaine Wars, with firsthand accounts by hit man Jorge 'Rivi' Ayala, cocaine trafficker Jon Roberts, smuggler Mickey Munday, and others. Cocaine Cowboys: Reloaded recreates Miami's Cocaine Wars like you've never experienced it.",1.044394,Cocaine Cowboys: Reloaded,/yjompw3PBlhedn4zTrgPhqctLL8.jpg,8,FALSE,FALSE,6.9,en,314407,[99],2014,3845960,Cocaine Cowboys: Reloaded,152,Billy Corben,
/6lm7dP2YjLRt1U8m3DOMECoUmay.jpg,Return to Zero,5/17/2014,"Based on the true story of a successful couple, Maggie and Aaron who are preparing for the arrival of their first child.",1.094579,Return to Zero,/jEJnDPww9HsvS7MFO6ChRBkIEeb.jpg,5,FALSE,FALSE,6.4,en,270756,[18],2014,2538130,Return to Zero,104,Sean Hanish,
/aq5gXOgE4y6F9S5VtdzmmjhASo5.jpg,9 Kisses,12/11/2014,2014's best actors pair up in a series of intimate encounters.,1.535094,9 Kisses,,12,FALSE,FALSE,6.7,en,341747,[10749],2014,4679082,9 Kisses,9,Elaine Constantine,
/foLe0dW1Q9DqUfigZKzwejfChhY.jpg,Leave the World Behind,3/12/2014,"A music documentary following the breakup of Swedish House Mafia and their subsequent One Last Tour. The largest electronic tour in history, selling over 1 million tickets in one week. Director Christian Larson captures the band in a unique fly on the wall manner as they call it quits and seek closure by going on the tour they had always dreamed of. With breathtaking live moments, huge laughs and dark lows, the band start to unravel why they came to the decision to end the biggest achievement of their lives to date to save their friendship.  The film maps out three of the biggest stars in a scene which has gripped youth the world over and the psychology of the band. A film not to be missed.",1.127753,Swedish House Mafia - Leave the World Behind,/bZKUrgIdjuOvPY4P68G6xig3qzD.jpg,20,FALSE,FALSE,7.3,en,250578,"[99, 10402]",2014,3288290,Leave the World Behind,95,Christian Larson,
/rzs8vjj3ZzlV3YZX81EwU1ifAbY.jpg,Mischief Night,5/20/2014,"The night before Halloween, a teenage babysitter is stalked by a masked killer; but in an unusual turn of events, victim and victimizer begin to develop romantic feelings for each other.",1.022112,Mischief Night,/3codUIRWQk1frP2DlsI5aGxM527.jpg,4,FALSE,FALSE,5.3,en,258255,[27],2014,1763256,Mischief Night,88,Travis Baker,2.35 : 1
/AmwngjWOOGm1TujXf1MnKZuuWeJ.jpg,My Trip Back to the Dark Side,5/14/2014,"Shawn Stone is having a bad day. The funding for his film project is not there, his personal life is in shambles, he's out of time and money. He sees only one way to solve his problems - he must turn to the dark side and ask the King of Porn for some cash",1.187649,My Trip Back to the Dark Side,/eosvwIuBhsJD1OkWwCSlqRDm6Hh.jpg,2,FALSE,FALSE,6,en,339709,"[80, 53]",2014,1810710,My Trip Back to the Dark Side,94,Shane Stanley,
/ffpW2n4gqM9cbeg5O9Uhml9M1SA.jpg,My Hawaiian Discovery,6/14/2014,"Minori Oyamada, a put-upon editor at a travel-guide publishing company, is asked by an old friend to plan her forthcoming wedding party in Hawaii. After persuading her boss that it will be a work trip, Minori departs for Hawaii with the intention to find and marry a rich man. But when Minori arrives, she encounters three different men who complicate her original goal...",1.069504,????????????????????_????_??????????,/lUN3kWclTQBeotACcQsRkEl1q4w.jpg,1,FALSE,FALSE,0.5,en,290229,"[35, 10749, 12]",2014,3240086,Watashi no Hawaii no arukikata,,K??ji Maeda,
/5cXCZK7bkS2BzpjmJGuP0R9aqCW.jpg,The Iron Ministry,8/15/2014,"Filmed over three years on China???s railways, The Iron Ministry traces the vast interiors of a country on the move: flesh and metal, clangs and squeals, light and dark, and language and gesture. Scores of rail journeys come together into one, capturing the thrills and anxieties of social and technological transformation. The Iron Ministry immerses audiences in fleeting relationships and uneasy encounters between humans and machines on what will soon be the world???s largest railway network.",1.017717,The Iron Ministry,/qzLoOnwoXqIOJu7N2HhLTwe0xII.jpg,2,FALSE,FALSE,6.5,en,287179,[99],2014,3907314,The Iron Ministry,82,J.P. Sniadecki,1.78 : 1
/ysWCRLwP770bChHmCyBSexbuvv.jpg,Caf??. Waiting. Love,8/15/2014,"College freshman Si-ying gets a part-time job at ???Cafe. Waiting. Love??? coffee shop, where she befriends Abusi, a tomboyish barista who can make any coffee the customers request, the beautiful and mysterious cafe owner, and Zeyu, the boy who always sits in the same spot in the cafe who seems to be very popular with girls and on whom Si-ying develops an instant crush.",1.075393,?_????????????????,/wiyxoz0HqyVXWfo38FL9FoFZL10.jpg,18,FALSE,FALSE,6.2,en,287703,"[35, 10749]",2014,3974790,Caf??. Waiting. Love,119,Chin-Lin Chiang,2.35 : 1
